Business Unit,Company Code,Company Name,Currency
GAS,0007,MISC Tankers Sdn. Bhd.,USD
MMS,0026,MISC Maritime Services Sd,MYR
MMS,0044,Sungai Udang Port Sdn Bhd,MYR
GAS,0064,Puteri Intan Sdn. Bhd.,USD
GAS,0065,Puteri Delima Sdn. Bhd.,USD
GAS,0066,Puteri Nilam Sdn. Bhd.,USD
GAS,0067,Puteri Zamrud Sdn. Bhd.,USD
GAS,0068,Puteri Firus Sdn. Bhd.,USD
GAS,0092,Asia LNG Transport SB,USD
GAS,0093,Asia LNG Transport Dua SB,USD
ALAM,0100,Malaysian Maritime Academ,MYR
MISC,0109,MISC BERHAD,USD
MISC,0132,MISC Ferry Services Sdn.B,MYR
MISC,0136,MISC Agencies Sdn. Bhd.,MYR
MISC,0141,MISC Agencies (Netherland,EUR
MISCM,0190,MISC Ship Management SB,MYR
GAS,0212,Puteri Intan Satu (L) PL,USD
GAS,0213,Puteri Delima Satu (L) PL,USD
GAS,0214,Puteri Nilam Satu (L) PL,USD
GAS,0215,Puteri Zamrud Satu (L) PL,USD
GAS,0216,Puteri Firus Satu (L) PL,USD
GAS,0217,Puteri Mutiara Satu (L)PL,USD
MISC,0270,MISC Capital (L) Ltd.,USD
OBU,0272,MISC Offshore Floating Te,USD
GAS,0279,M.I.S.C. Nigeria Ltd.,NGN
MISC,0280,MISC International (L)Ltd,USD
OBU,0284,Malaysia Deepwater Floati,USD
MISC,0294,MISC Tanker Holdings SB,MYR
MISC,0295,MISC Tanker Holdings Berm,USD
OBU,0305,MISC Offshore Holdings (B,USD
OBU,0318,Malaysia Deepwater Produc,USD
OBU,0333,Malaysia Offshore Mobile,USD
OBU,0342,Malaysia Vietnam Offshore,USD
OBU,0361,Gumusut-Kakap Semi-Floati,USD
MISC,0372,MTTI Sdn Bhd,USD
GAS,0379,Gas Asia Terminal (L) PL,USD
GAS,0389,MISC PNG Shipping Limited,USD
OBU,0423,MISC Offshore Floating Te,USD
OBU,0433,Malaysia Offshore Mobile,USD
GAS,0483,Seri Camellia (L) PL,USD
GAS,0484,Seri Cenderawasih PL,USD
GAS,0485,Seri Cempaka (L) PL,USD
