Code,Description,Parent Code,Node Type,Hierarchy Level,P&L Path
NPAT,Net Profit After Tax (NPAT),,Reporting Root,0,NPAT
PNL-0001,Gross Profit,NPAT,Reporting Node,1,NPAT > Gross Profit
PNL-0002,Revenue,PNL-0001,Reporting Node,2,NPAT > Gross Profit > Revenue
PNL-0003,Operating Lease - Charter Income,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100100,Revenue-Time Charter,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100200,Revenue-Amortization of Deferred Income,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100300,Revenue-Bareboat-Charter,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100400,Revenue-Capex Hire,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100500,Revenue-OPEX Hire,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100600,Revenue-Spot charter,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100700,Revenue-Shipping Interco,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
4010100800,Revenue-Non Shipping Interco,PNL-0003,Posting GL Account,4,NPAT > Gross Profit > Revenue > Operating Lease - Charter Income
PNL-0004,Finance Lease,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Finance Lease
4020100100,Finance Income Lease Receivables,PNL-0004,Posting GL Account,4,NPAT > Gross Profit > Revenue > Finance Lease
4020100200,Interest Revenue Ship,PNL-0004,Posting GL Account,4,NPAT > Gross Profit > Revenue > Finance Lease
4020100300,Interest Revenue Offshore Floating Asset,PNL-0004,Posting GL Account,4,NPAT > Gross Profit > Revenue > Finance Lease
4020100400,Interest Revenue Workboat,PNL-0004,Posting GL Account,4,NPAT > Gross Profit > Revenue > Finance Lease
4020100800,Maintenance/Service Fee,PNL-0004,Posting GL Account,4,NPAT > Gross Profit > Revenue > Finance Lease
PNL-0005,Voyage and Lightering,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100100,Revenue-Lightering,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100200,Revenue-Lightering-Workboat Charter Out,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100300,Revenue-Freight,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100400,Revenue-Freight Bunker Adjustment,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100500,Revenue-Voyage Charter,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100600,Revenue-Overseas-Related Party Freight Rev.,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
4030100700,Revenue-Local-Interco-Lightering Fee Income,PNL-0005,Posting GL Account,4,NPAT > Gross Profit > Revenue > Voyage and Lightering
PNL-0006,Other Shipping Revenue,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100100,Revenue-O&M Reimbursables,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100200,Revenue-Other Claims,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100300,Revenue-Demurrage,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100400,Revenue-Time Rates,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100500,Revenue-O&M,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100600,Revenue-Supply Vessel DCR,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100700,Revenue-O&M Fixed Fee,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100800,Revenue-O&M Bonus & Assessment,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040100900,Revenue-O&M Catering,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101000,Revenue-Cancellation Fee,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101100,Revenue-Overseas-Cargo Heating,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101200,Revenue-O&M JV Commercial Management Fees,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101300,Revenue-O&M Mooring Master,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101400,Revenue-Overseas-Other Shipping Revenue,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101500,Revenue-Overseas-Deviation,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101600,Revenue-Overseas-OPA Differential/Cancellation,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101700,Revenue-Overseas-Shifting,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101800,Revenue-Overseas-Related Party War Risk,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
4040101900,Revenue - Overseas - Misc. Revenue,PNL-0006,Posting GL Account,4,NPAT > Gross Profit > Revenue > Other Shipping Revenue
PNL-0007,Construction Revenue,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Construction Revenue
4050100100,Revenue-Vessel Conversion,PNL-0007,Posting GL Account,4,NPAT > Gross Profit > Revenue > Construction Revenue
4050100200,Revenue-MMHE Heavy Engineering & Construction,PNL-0007,Posting GL Account,4,NPAT > Gross Profit > Revenue > Construction Revenue
4050100300,Revenue-MMHE-Inter-Division Work,PNL-0007,Posting GL Account,4,NPAT > Gross Profit > Revenue > Construction Revenue
4050100400,Revenue-MMHE-Inter-Division Work(Recovery),PNL-0007,Posting GL Account,4,NPAT > Gross Profit > Revenue > Construction Revenue
4050100500,Revenue-MMHE Marine Conversion and Repair,PNL-0007,Posting GL Account,4,NPAT > Gross Profit > Revenue > Construction Revenue
PNL-0008,Fleet Management Revenue,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100100,Revenue-Ship Management Services,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100200,Revenue-Manning Fees,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100300,Revenue-Comissions,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100400,Revenue-Reimbursables,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100500,Revenue-Project Management Fees,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100600,Revenue-Overseas-Time Rate,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100700,Revenue-Overseas-Interco-Other Shipping Revenue,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100800,Revenue-Overseas-MGMT Svcs-Others(Inter,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
4060100900,Revenue-Overseas-Interco-Time Charter,PNL-0008,Posting GL Account,4,NPAT > Gross Profit > Revenue > Fleet Management Revenue
PNL-0009,Management Of Ports & Terminals,PNL-0002,Reporting Node,3,NPAT > Gross Profit > Revenue > Management Of Ports & Terminals
4070100100,Revenue-Management of Ports and Terminals,PNL-0009,Posting GL Account,4,NPAT > Gross Profit > Revenue > Management Of Ports & Terminals
4070100200,Revenue-Maritime Services & Consultancy,PNL-0009,Posting GL Account,4,NPAT > Gross Profit > Revenue > Management Of Ports & Terminals
4070100300,Revenue-Ship Audit & Ship Vetting,PNL-0009,Posting GL Account,4,NPAT > Gross Profit > Revenue > Management Of Ports & Terminals
4070100400,International Revenue-Interco-Rendering of Svc,PNL-0009,Posting GL Account,4,NPAT > Gross Profit > Revenue > Management Of Ports & Terminals
